Chelsfield,51.35626458,0.10898412,Southeastern
Chesham,51.70538002,-0.611429657,Metropolitan
Cheshunt,51.70287331,-0.023887415,Greater Anglia
Chessington North,51.36424344,-0.300476129,South Western
Chessington South,51.35670453,-0.307089021,South Western
Chigwell,51.61785787,0.076179215,Central
Chingford,51.63325337,0.009514326,Overground
Chipstead,51.30927498,-0.169445869,Southern
Chislehurst,51.40559841,0.057491821,Southeastern
Chiswick,51.48078149,-0.267013322,South Western
Chiswick Park,51.49437071,-0.267736922,District
Chorleywood,51.65426593,-0.518333927,Chiltern Railways
Church Street,51.37370656,-0.104346829,Tramlink
City Thameslink,51.51393507,-0.103618449,Thameslink
Clapham Common,51.46180367,-0.138314902,Northern
Clapham High Street,51.46546951,-0.132464503,Overground
Clapham Junction,51.46436678,-0.170315002,Overground
Clapham North,51.46491621,-0.129910063,Northern
Clapham South,51.45267649,-0.14798407,Northern
Clapton,51.56156909,-0.057489458,Overground
Clock House,51.40854056,-0.040702093,Southeastern
Cockfosters,51.65202448,-0.149916711,Piccadilly
Colindale,51.59523052,-0.250287544,Northern
Colliers Wood,51.41875919,-0.1774151,Northern
Coombe Lane,51.35978931,-0.059531571,Tramlink
Coulsdon South,51.31580094,-0.13790309,Southern
Coulsdon Town,51.32245295,-0.134347057,Southern
Covent Garden,51.51276023,-0.124506895,Piccadilly
Crayford,51.44854676,0.178502716,Southeastern
Crews Hill,51.68447461,-0.106844101,Great Northern
Cricklewood,51.55842267,-0.212547934,Thameslink
Crofton Park,51.45517929,-0.036546582,Thameslink
Crossharbour and London Arena,51.49583998,-0.014932813,DLR
Crouch Hill,51.5713271,-0.117133285,Overground
Croxley,51.64700528,-0.441603798,Metropolitan
Crystal Palace,51.41817035,-0.072607233,Overground
Custom House,51.50962206,0.02577251,DLR
Cutty Sark for Maritime Greenwich,51.48194447,-0.010581867,DLR
Cyprus,51.50852658,0.063840756,DLR
Dagenham Dock,51.5262872,0.145031014,C2C
Dagenham East,51.54418734,0.165833432,District
Dagenham Heathway,51.54121179,0.14767972,District
Dalston Junction,51.54609372,-0.074994205,Overground
Dalston Kingsland,51.54866782,-0.076226922,Overground
